GENRE	PLACE	LIGHT	ISO	aperture	exposure	lightDetail	object	when	light	genre_old
человек или предмет	На улице	Дневной свет	1600	0	-	ISO 1600 не подходит для съемки утром или днем на фоне песка	человек или предмет	утро / день	песок	портрет
человек или предмет	На улице	Дневной свет	3200	0	-	ISO 3200 не подходит для съемки утром или днем на фоне песка	человек или предмет	утро / день	песок	портрет
человек или предмет	На улице	Вечер или ночь	50	0	-	ISO 50 не подходит для съемки на закате	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	100	2	1/125	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	160	2	1/250	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	160	2.8	1/125	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	200	2	1/250	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	200	2.8	1/125	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	400	2	1/500	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	400	2.8	1/250	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	400	4	1/125	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	800	2.8	1/500	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	800	4	1/250	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	1600	4	1/500	закат	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	3200	0	-	ISO 3200 не подходит для съемки на закате	человек или предмет	вечер	закат	портрет
человек или предмет	На улице	Вечер или ночь	50	0	-	ISO 50 не подходит для съемки в сумерках	человек или предмет	вечер	сумерки	портрет
человек или предмет	На улице	Вечер или ночь	100	0	-	ISO 100 не подходит для съемки в сумерках	человек или предмет	вечер	сумерки	портрет
человек или предмет	На улице	Вечер или ночь	160	0	-	ISO 160 не подходит для съемки в сумерках	человек или предмет	вечер	сумерки	портрет
человек или предмет	На улице	Вечер или ночь	200	0	-	ISO 200 не подходит для съемки в сумерках	человек или предмет	вечер	сумерки	портрет
человек или предмет	На улице	Вечер или ночь	400	0	-	ISO 400 не подходит для съемки в сумерках	человек или предмет	вечер	сумерки	портрет
человек или предмет	На улице	Вечер или ночь	800	2	1/125	сумерки	человек или предмет	вечер	сумерки	портрет
человек или предмет	На улице	Вечер или ночь	1600	2	1/250	сумерки	человек или предмет	вечер	сумерки	портрет
человек или предмет	На улице	Вечер или ночь	3200	2	1/500	сумерки	человек или предмет	вечер	сумерки	портрет
человек или предмет	На улице	Вечер или ночь	50	0	-	ISO 50 не подходит для съемки в свете фонарей или неоновых вывесок	человек или предмет	вечер	фонари или неон	портрет
человек или предмет	На улице	Вечер или ночь	100	0	-	ISO 100 не подходит для съемки в свете фонарей или неоновых вывесок	человек или предмет	вечер	фонари или неон	портрет
человек или предмет	На улице	Вечер или ночь	160	0	-	ISO 160 не подходит для съемки в свете фонарей или неоновых вывесок	человек или предмет	вечер	фонари или неон	портрет
человек или предмет	На улице	Вечер или ночь	200	0	-	ISO 200 не подходит для съемки в свете фонарей или неоновых вывесок	человек или предмет	вечер	фонари или неон	портрет
человек или предмет	На улице	Вечер или ночь	400	0	-	ISO 400 не подходит для съемки в свете фонарей или неоновых вывесок	человек или предмет	вечер	фонари или неон	портрет
человек или предмет	На улице	Вечер или ночь	800	2	1/125	фонари или неон	человек или предмет	вечер	фонари или неон	портрет
человек или предмет	На улице	Вечер или ночь	1600	2	1/250	фонари или неон	человек или предмет	вечер	фонари или неон	портрет
человек или предмет	На улице	Вечер или ночь	3200	2	1/250	фонари или неон	человек или предмет	вечер	фонари или неон	портрет
человек или предмет	На улице	Вечер или ночь	3200	2.8	1/125	фонари или неон	человек или предмет	вечер	фонари или неон	портрет
море, озеро, река	На улице	Дневной свет	50	8	1/500	солнечно	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	50	11	1/250	солнечно	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	50	16	1/125	солнечно	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	100	11	1/500	солнечно	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	100	16	1/250	солнечно	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	160	11	1/500	солнечно	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	160	16	1/250	солнечно	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	200	16	1/250	солнечно	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	400	0	-	ISO 400 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	800	0	-	ISO 800 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	1600	0	-	ISO 1600 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	3200	0	-	ISO 3200 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	солнечно	пейзаж
море, озеро, река	На улице	Дневной свет	50	5.6	1/500	облачно	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	50	8	1/250	облачно	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	50	11	1/125	облачно	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	100	8	1/500	облачно	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	100	11	1/250	облачно	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	160	8	1/500	облачно	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	160	11	1/250	облачно	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	200	11	1/500	облачно	море, озеро, река	утро / день	облачно	пейзаж
